locus_tag	ftype	length_bp	gene	EC_number	COG	product
DEIMIIIJ_00001	gene	1335	dnaA			
DEIMIIIJ_00001	CDS	1335	dnaA		COG0593	Chromosomal replication initiator protein DnaA
DEIMIIIJ_00002	gene	1101	dnaN			
DEIMIIIJ_00002	CDS	1101	dnaN		COG0592	Beta sliding clamp
DEIMIIIJ_00003	gene	1074	recF_1			
DEIMIIIJ_00003	CDS	1074	recF_1		COG1195	DNA replication and repair protein RecF
DEIMIIIJ_00004	gene	2415	gyrB			
DEIMIIIJ_00004	CDS	2415	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
DEIMIIIJ_00005	gene	813	yidA			
DEIMIIIJ_00005	CDS	813	yidA	3.1.3.23	COG0561	Sugar phosphatase YidA
DEIMIIIJ_00006	gene	1062				
DEIMIIIJ_00006	CDS	1062				hypothetical protein
DEIMIIIJ_00007	gene	1134				
DEIMIIIJ_00007	CDS	1134				hypothetical protein
DEIMIIIJ_00008	gene	690	lutR			
DEIMIIIJ_00008	CDS	690	lutR		COG2186	HTH-type transcriptional regulator LutR
DEIMIIIJ_00009	gene	879	dgoK1_1			
DEIMIIIJ_00009	CDS	879	dgoK1_1	2.7.1.58	COG3734	putative 2-dehydro-3-deoxygalactonokinase DgoK1
DEIMIIIJ_00010	gene	618	dgoA_1			
DEIMIIIJ_00010	CDS	618	dgoA_1	4.1.2.21	COG0800	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
DEIMIIIJ_00011	gene	1149	dgoD			
DEIMIIIJ_00011	CDS	1149	dgoD	4.2.1.6	COG4948	D-galactonate dehydratase
DEIMIIIJ_00012	gene	1293	dgoT_1			
DEIMIIIJ_00012	CDS	1293	dgoT_1			D-galactonate transporter
DEIMIIIJ_00013	gene	1227				
DEIMIIIJ_00013	CDS	1227				hypothetical protein
DEIMIIIJ_00014	gene	333				
DEIMIIIJ_00014	CDS	333				hypothetical protein
DEIMIIIJ_00015	gene	414	ibpA			
DEIMIIIJ_00015	CDS	414	ibpA		COG0071	Small heat shock protein IbpA
DEIMIIIJ_00016	gene	429	ibpB_1			
DEIMIIIJ_00016	CDS	429	ibpB_1		COG0071	Small heat shock protein IbpB
DEIMIIIJ_00017	gene	561				
DEIMIIIJ_00017	CDS	561				hypothetical protein
DEIMIIIJ_00018	gene	1662	aspT_1			
DEIMIIIJ_00018	CDS	1662	aspT_1			Aspartate/alanine antiporter
DEIMIIIJ_00019	gene	723	mngR_1			
DEIMIIIJ_00019	CDS	723	mngR_1		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
DEIMIIIJ_00020	gene	1623	malP_1			
DEIMIIIJ_00020	CDS	1623	malP_1		COG1263	PTS system maltose-specific EIICB component
DEIMIIIJ_00021	gene	1323	aglB			
DEIMIIIJ_00021	CDS	1323	aglB	3.2.1.122	COG1486	6-phospho-alpha-glucosidase
DEIMIIIJ_00022	gene	348	yidH			
DEIMIIIJ_00022	CDS	348	yidH		COG2149	Inner membrane protein YidH
DEIMIIIJ_00023	gene	363	yidG			
DEIMIIIJ_00023	CDS	363	yidG			Inner membrane protein YidG
DEIMIIIJ_00024	gene	501				
DEIMIIIJ_00024	CDS	501				hypothetical protein
DEIMIIIJ_00025	gene	1329	dsdA			
DEIMIIIJ_00025	CDS	1329	dsdA	4.3.1.18	COG3048	D-serine dehydratase
DEIMIIIJ_00026	gene	1338	dsdX			
DEIMIIIJ_00026	CDS	1338	dsdX			D-serine transporter DsdX
DEIMIIIJ_00027	gene	924	dsdC_1			
DEIMIIIJ_00027	CDS	924	dsdC_1		COG0583	HTH-type transcriptional regulator DsdC
DEIMIIIJ_00028	gene	1185	emrD			
DEIMIIIJ_00028	CDS	1185	emrD			Multidrug resistance protein D
DEIMIIIJ_00029	gene	834				
DEIMIIIJ_00029	CDS	834				hypothetical protein
DEIMIIIJ_00030	gene	447				
DEIMIIIJ_00030	CDS	447				hypothetical protein
DEIMIIIJ_00031	gene	90				
DEIMIIIJ_00031	CDS	90				hypothetical protein
DEIMIIIJ_00032	gene	96				
DEIMIIIJ_00032	CDS	96				hypothetical protein
DEIMIIIJ_00033	gene	1689	ilvB_1			
DEIMIIIJ_00033	CDS	1689	ilvB_1	2.2.1.6	COG0028	Acetolactate synthase isozyme 1 large subunit
DEIMIIIJ_00034	gene	288	ilvN			
DEIMIIIJ_00034	CDS	288	ilvN	2.2.1.6	COG0440	Acetolactate synthase isozyme 1 small subunit
DEIMIIIJ_00035	gene	594	uhpA			
DEIMIIIJ_00035	CDS	594	uhpA		COG2197	Transcriptional regulatory protein UhpA
DEIMIIIJ_00036	gene	1503	uhpB			
DEIMIIIJ_00036	CDS	1503	uhpB	2.7.13.3		Signal transduction histidine-protein kinase/phosphatase UhpB
DEIMIIIJ_00037	gene	1329	uhpC			
DEIMIIIJ_00037	CDS	1329	uhpC		COG2271	Membrane sensor protein UhpC
DEIMIIIJ_00038	gene	1392	uhpT			
DEIMIIIJ_00038	CDS	1392	uhpT		COG2271	Hexose-6-phosphate:phosphate antiporter
DEIMIIIJ_00039	gene	453				
DEIMIIIJ_00039	CDS	453				hypothetical protein
DEIMIIIJ_00040	gene	324				
DEIMIIIJ_00040	CDS	324				hypothetical protein
