locus_tag	ftype	length_bp	gene	EC_number	COG	product
MBKIICBG_00001	gene	1335	dnaA_1			
MBKIICBG_00001	CDS	1335	dnaA_1		COG0593	Chromosomal replication initiator protein DnaA
MBKIICBG_00002	gene	1101	dnaN			
MBKIICBG_00002	CDS	1101	dnaN		COG0592	Beta sliding clamp
MBKIICBG_00003	gene	1074	recF			
MBKIICBG_00003	CDS	1074	recF		COG1195	DNA replication and repair protein RecF
MBKIICBG_00004	gene	2415	gyrB			
MBKIICBG_00004	CDS	2415	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
MBKIICBG_00005	gene	813	yidA			
MBKIICBG_00005	CDS	813	yidA	3.1.3.23	COG0561	Sugar phosphatase YidA
MBKIICBG_00006	gene	1062				
MBKIICBG_00006	CDS	1062				hypothetical protein
MBKIICBG_00007	gene	1134				
MBKIICBG_00007	CDS	1134				hypothetical protein
MBKIICBG_00008	gene	690	lutR			
MBKIICBG_00008	CDS	690	lutR		COG2186	HTH-type transcriptional regulator LutR
MBKIICBG_00009	gene	879	dgoK1_1			
MBKIICBG_00009	CDS	879	dgoK1_1	2.7.1.58	COG3734	putative 2-dehydro-3-deoxygalactonokinase DgoK1
MBKIICBG_00010	gene	618	dgoA_1			
MBKIICBG_00010	CDS	618	dgoA_1	4.1.2.21	COG0800	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
MBKIICBG_00011	gene	1149	dgoD			
MBKIICBG_00011	CDS	1149	dgoD	4.2.1.6	COG4948	D-galactonate dehydratase
MBKIICBG_00012	gene	1293	dgoT_1			
MBKIICBG_00012	CDS	1293	dgoT_1			D-galactonate transporter
MBKIICBG_00013	gene	1221				
MBKIICBG_00013	CDS	1221				hypothetical protein
MBKIICBG_00014	gene	333				
MBKIICBG_00014	CDS	333				hypothetical protein
MBKIICBG_00015	gene	414	ibpA			
MBKIICBG_00015	CDS	414	ibpA		COG0071	Small heat shock protein IbpA
MBKIICBG_00016	gene	429	ibpB			
MBKIICBG_00016	CDS	429	ibpB		COG0071	Small heat shock protein IbpB
MBKIICBG_00017	gene	825				
MBKIICBG_00017	CDS	825				hypothetical protein
MBKIICBG_00018	gene	1662	aspT_1			
MBKIICBG_00018	CDS	1662	aspT_1			Aspartate/alanine antiporter
MBKIICBG_00019	gene	723	mngR_1			
MBKIICBG_00019	CDS	723	mngR_1		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
MBKIICBG_00020	gene	1623	malP_1			
MBKIICBG_00020	CDS	1623	malP_1		COG1263	PTS system maltose-specific EIICB component
MBKIICBG_00021	gene	1323	aglB			
MBKIICBG_00021	CDS	1323	aglB	3.2.1.122	COG1486	6-phospho-alpha-glucosidase
MBKIICBG_00022	gene	348	yidH			
MBKIICBG_00022	CDS	348	yidH		COG2149	Inner membrane protein YidH
MBKIICBG_00023	gene	363	yidG			
MBKIICBG_00023	CDS	363	yidG			Inner membrane protein YidG
MBKIICBG_00024	gene	501				
MBKIICBG_00024	CDS	501				hypothetical protein
MBKIICBG_00025	gene	1329	dsdA			
MBKIICBG_00025	CDS	1329	dsdA	4.3.1.18	COG3048	D-serine dehydratase
MBKIICBG_00026	gene	1338	dsdX			
MBKIICBG_00026	CDS	1338	dsdX			D-serine transporter DsdX
MBKIICBG_00027	gene	924	dsdC_1			
MBKIICBG_00027	CDS	924	dsdC_1		COG0583	HTH-type transcriptional regulator DsdC
MBKIICBG_00028	gene	1185	emrD			
MBKIICBG_00028	CDS	1185	emrD			Multidrug resistance protein D
MBKIICBG_00029	gene	834				
MBKIICBG_00029	CDS	834				hypothetical protein
MBKIICBG_00030	gene	447				
MBKIICBG_00030	CDS	447				hypothetical protein
MBKIICBG_00031	gene	90				
MBKIICBG_00031	CDS	90				hypothetical protein
MBKIICBG_00032	gene	96				
MBKIICBG_00032	CDS	96				hypothetical protein
MBKIICBG_00033	gene	1689	ilvB_1			
MBKIICBG_00033	CDS	1689	ilvB_1	2.2.1.6	COG0028	Acetolactate synthase isozyme 1 large subunit
MBKIICBG_00034	gene	288	ilvN			
