#query	ARLG-3180_consensus_assembly.fasta	ARLG-3181_consensus_assembly.fasta	ARLG-3182_consensus_assembly.fasta	ARLG-3183_consensus_assembly.fasta	ARLG-3185_consensus_assembly.fasta	ARLG-3186_consensus_assembly.fasta	ARLG-3187_consensus_assembly.fasta	ARLG-3188_consensus_assembly.fasta	ARLG-3190_consensus_assembly.fasta	ARLG-3192_consensus_assembly.fasta	ARLG-3194_consensus_assembly.fasta
ARLG-3180_consensus_assembly.fasta	0	0.0102344	0.000957088	0.00093739	0.00168562	0.0129648	0.0103744	0.000472407	0.0108477	0.00173059	0.000638552
ARLG-3181_consensus_assembly.fasta	0.0102344	0	0.0110484	0.011013	0.011713	0.0139045	0.00299126	0.0105436	0.00201237	0.0119009	0.0109807
ARLG-3182_consensus_assembly.fasta	0.000957088	0.0110484	0	0.000402176	0.000783407	0.013456	0.0100711	0.00100466	0.0116746	0.00100973	0.000423433
ARLG-3183_consensus_assembly.fasta	0.00093739	0.011013	0.000402176	0	0.000882965	0.0134663	0.0101275	0.00093638	0.0115788	0.000899828	0.000501125
ARLG-3185_consensus_assembly.fasta	0.00168562	0.011713	0.000783407	0.000882965	0	0.0139381	0.0107547	0.00169434	0.0123305	0.00142488	0.00114388
ARLG-3186_consensus_assembly.fasta	0.0129648	0.0139045	0.013456	0.0134663	0.0139381	0	0.0137767	0.0130248	0.0143502	0.0140694	0.0133537
ARLG-3187_consensus_assembly.fasta	0.0103744	0.00299126	0.0100711	0.0101275	0.0107547	0.0137767	0	0.0105257	0.00345073	0.00988968	0.00992152
ARLG-3188_consensus_assembly.fasta	0.000472407	0.0105436	0.00100466	0.00093638	0.00169434	0.0130248	0.0105257	0	0.0108312	0.00173138	0.000676011
ARLG-3190_consensus_assembly.fasta	0.0108477	0.00201237	0.0116746	0.0115788	0.0123305	0.0143502	0.00345073	0.0108312	0	0.0125499	0.0116377
ARLG-3192_consensus_assembly.fasta	0.00173059	0.0119009	0.00100973	0.000899828	0.00142488	0.0140694	0.00988968	0.00173138	0.0125499	0	0.00110176
ARLG-3194_consensus_assembly.fasta	0.000638552	0.0109807	0.000423433	0.000501125	0.00114388	0.0133537	0.00992152	0.000676011	0.0116377	0.00110176	0
