locus_tag	ftype	length_bp	gene	EC_number	COG	product
CGBLDEDM_00001	CDS	1335	dnaA_1		COG0593	Chromosomal replication initiator protein DnaA
CGBLDEDM_00002	misc_RNA	81				AsdA
CGBLDEDM_00003	CDS	1101	dnaN		COG0592	Beta sliding clamp
CGBLDEDM_00004	CDS	1074	recF_1		COG1195	DNA replication and repair protein RecF
CGBLDEDM_00005	CDS	2415	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
CGBLDEDM_00006	CDS	813	yidA	3.1.3.23	COG0561	Sugar phosphatase YidA
CGBLDEDM_00007	CDS	1062				hypothetical protein
CGBLDEDM_00008	CDS	1134				hypothetical protein
CGBLDEDM_00009	CDS	690	lutR		COG2186	HTH-type transcriptional regulator LutR
CGBLDEDM_00010	CDS	879	dgoK1_1	2.7.1.58	COG3734	putative 2-dehydro-3-deoxygalactonokinase DgoK1
CGBLDEDM_00011	CDS	618	dgoA_1	4.1.2.21	COG0800	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
CGBLDEDM_00012	CDS	1149	dgoD	4.2.1.6	COG4948	D-galactonate dehydratase
CGBLDEDM_00013	CDS	1293	dgoT_1			D-galactonate transporter
CGBLDEDM_00014	CDS	1227				hypothetical protein
CGBLDEDM_00015	CDS	333				hypothetical protein
CGBLDEDM_00016	misc_RNA	76				ROSE_2
CGBLDEDM_00017	CDS	414	ibpA		COG0071	Small heat shock protein IbpA
CGBLDEDM_00018	CDS	429	ibpB_1		COG0071	Small heat shock protein IbpB
CGBLDEDM_00019	CDS	561				hypothetical protein
CGBLDEDM_00020	CDS	1662	aspT_1			Aspartate/alanine antiporter
CGBLDEDM_00021	CDS	723	mngR_1		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
CGBLDEDM_00022	CDS	1623	malP_1		COG1263	PTS system maltose-specific EIICB component
CGBLDEDM_00023	CDS	1323	aglB	3.2.1.122	COG1486	6-phospho-alpha-glucosidase
CGBLDEDM_00024	CDS	348	yidH		COG2149	Inner membrane protein YidH
